publisher_id,bgg_id,name_en,description,country_code
pub_5691,5691,Mr. Crokinole,"<p>Owned by Wayne Kelly, author of <strong>The Crokinole Book</strong>.</p> <p><em>Excerpt from the Mr. Crokinole website:</em> (<a rel=""nofollow"" href=""http://www.crokinole.com/about.asp)"" onclick=""w",
pub_18843,18843,Muzzies' Country Lane Woodshop,"<p>Builders of crokinole boards.</p> <p>From their website: Muzzies Country Lane Woodshop is located in Forest Glade, in Nova Scotia&rsquo;s Annapolis Valley. Sue and Murray Skaling have enjoyed craft",
pub_40273,40273,Tracey Boards,"<p>Manufacturer of Crokinole game boards and source for Crokinole accessories.</p> <p>Jeremy Tracey is the successor to master craftsman Willard Martin, maker of famous &quot;Willard&quot; Crokinole b",
pub_7867,7867,Willard,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_40102,40102,Wooden You Know Crokinole Boards,"<p>High quality custom crokinole board manufacturer.</p> <p>From their website (<a rel=""nofollow"" href=""https://www.woodenyouknow.com/)"" onclick=""window.open(this.href, '_blank'); return false;"">https",
pub_44140,44140,Editions Philibert,<p>This Strasbourg publisher manufactured games like &quot;61 feuilles d'Automne&quot;.</p>,
pub_7251,7251,Giochix.it,"<p>Giochix Edizioni was founded in 2007, born from years of experience in the world of gaming associations and events. We focus on intelligent, strategy-driven games designed for experienced players a",
pub_10562,10562,hobbity.eu,"<p>The Hobbity company was established by board games fanatics, for whom up-to-date games are not only an excellent way to spend your free time in the family circle but also an important Hobby with ca",
pub_39814,39814,Wehrlegig Games,<p><strong>Wehrlegig Games LLC</strong> is a small publisher owned by Cole and Drew Wehrle. It was first formed to facilitate a reprint of the second edition of <em>Pax Pamir</em>. They seek to publis,
pub_21020,21020,Guillotine Games,"<p>Guillotine Games is a brand new company run by former employees of Rackham Entertainment, all of them coming from the artistic department. Our target and mission is to create incredibly rich board ",
pub_3888,3888,Stratelibri,"<p>Website: <a rel=""nofollow"" href=""http://www.stratelibri.it/"" onclick=""window.open(this.href, '_blank'); return false;"">http://www.stratelibri.it/</a></p>",
pub_55730,55730,Fjórir Ásar,"<p>Fj&oacute;rir &Aacute;sar (e. Four Aces), an Icelandic publisher, is made up of siblings and their spouses who collaborated to create the Icelandic version of Hitster. The game, named SMELLUR, has ",
pub_48941,48941,Boardgame Mall,"<p>&quot;Boardgame Mall&quot; is the boardgame-specialized brand of PS company Inc.</p> In 2011, we stepped into boardgame industry as an e-commerce retailer in the first place. <br /> Ever since then",
pub_56725,56725,Gaming Library,"<p>Philippine edition partner of modern designer board games. Main website: www.gaminglib.com</p> <p>Main Organizer of All aBOARD Expo in the Philippines - <a rel=""nofollow"" href=""https://www.youtube.",
pub_56118,56118,Hid Konem (Хід Конем),"Ukrainian publisher and shop<br /> <p><strong>Microbadge:</strong><br /> <a href=""/microbadge/57470""><img alt='Microbadge: Hid Konem fan' onmouseover=""return overlib('Hid Konem fan', WRAP );"" onmouseo",
pub_50159,50159,Terra Publica,"<p>The publishing house Terra Publica started its activities in 2001 on June 8. As at the beginning of its activity, even today Terra Publica pays the greatest attention to representative, tourism pub",
pub_44349,44349,Mosaico Jogos,<p>Great players deserve the best games!</p> <p>A mosaic is made up of small pieces that fit together and become a larger figure. The meaning comes from the image that forms. The importance of small p,
pub_34793,34793,Cool Mini Or Not,"<p><strong>User Summary</strong></p> <p>When it started business, Cool Mini Or Not (abbreviated CMON) manufactured miniatures and miniature-related wargames. Over time, the company started publishing ",
pub_39195,39195,Shadowborne Games,<p>Makers of Artisanal Games.</p>,
pub_54051,54051,4GAMES,"<p>4GAMES is a board games publisher founded in 2023<br /> A small team of like-minded people in love with board games!<br /> We are focused primarily on family and children's games, but we do not dis",
pub_48072,48072,Bumble3ee Interactive,"<p>BUMBLE3EE INTERACTIVE is an independent Distributor and Publisher, committed to providing players unique gaming experiences and a renewed vision of the world of board games and interactive entertai",
pub_40576,40576,Funtails,<p><strong>Funtails</strong> is a publisher and developer of board games. The publishing division uses the many years of video game design experience of its employees to develop prototypes to the high,
pub_917,917,DV Games,"<p><strong>daVinci Editrice</strong> (<a rel=""nofollow"" href=""https://www.dvgames.com"" onclick=""window.open(this.href, '_blank'); return false;"">www.dvgames.com</a>) is a publishing house of board gam",
pub_25973,25973,Zacatrus,"<p>Qu&eacute; significa Zacatrus!</p> <p>Zacatrus! es muchos juegos. Todos los que podamos. Y si no tenemos uno, lo buscamos. Aunque haga falta surcar los Siete Mares, pelear con piratas tuertos y sop",
pub_53490,53490,Rozum,<p><strong>Rozum</strong> is an Ukrainian board game publisher. The concept of the Rozum brand is to choose the most suitable developmental product for the client. Board games is the main category of ,
pub_31815,31815,Czacha Games,<p>Board and Card Games Publishing Company</p>,
pub_8351,8351,Gen-X Games,"<p>At Gen X Games, we&rsquo;ve been creating and publishing board games since 2008. With more than 200 titles released, our catalog combines original creations and international licenses, always aimin",
pub_46474,46474,CMYK,"<p>Publisher of Monikers, Wavelength, and The Fuzzies.</p>",
pub_8845,8845,G3,"<p>Our mission is to provide entertainment on the highest level. Our games amuse, teach and connect generations. G3 is the joy of playing!</p> <p>Our company is present on the market since 2004. For 1",
pub_2164,2164,"North Star Games, LLC","<p><strong>North Star Games, LLC</strong> was originally founded in 2003 by pro Magic player <a rel=""nofollow"" href=""https://boardgamegeek.com/profile/domcrap"" onclick=""window.open(this.href, '_blank'",
pub_44340,44340,YellowBOX,"<p>Ukrainian Publisher</p> <p><strong>Microbadge:</strong><br /> <a href=""/microbadge/56980""><img alt='Microbadge: YellowBOX fan' onmouseover=""return overlib('YellowBOX fan', WRAP );"" onmouseout=""retu",
pub_36961,36961,Burnt Island Games,"<p>At Burnt Island Games we believe that your experience playing a game is multi-dimensional. Our strategy games are innovative, thought provoking, and beautiful. They are engaging in play and in aest",
pub_33845,33845,Grand Gamers Guild,<p>Independent publisher of card and board games. We aim for premium art and components and game play that will keep you coming back for more. We hope to offer a wide range of gaming experience to bec,
pub_6760,6760,Blackrock Games,"<p><strong>Microbadges</strong><br /> <a href=""/microbadge/27489""><img alt='Microbadge: Blackrock Editions fan' onmouseover=""return overlib('Blackrock Editions fan', WRAP );"" onmouseout=""return nd();""",
pub_43382,43382,Black Sea Games,"<p>Black Sea Games Ltd. is an independent game development company based in Sofia, Bulgaria, founded in November 2016. Our mission is to create hard-core games that will entertain you over and over ag",
pub_31372,31372,Igroljub,"<p>Slovenian trademark for board games known for re-released Catan and his expansion in Slovenian language. <br /> Started in 2012 from the bankrupt company <strong><a href=""/boardgamepublisher/5597/l",
pub_27082,27082,Kingdom Death,"<p>publisher of <strong><a href=""/boardgame/55690/kingdom-death-monster"" >Kingdom Death: Monster</a></strong><br /> and the related Expansions</p> <hr /> <p><strong>admin comment</strong><br /> the le",
pub_50230,50230,Belleville (Бельвіль),"<p>Компанія &quot;Бельвіль&quot; є офіційним дистриб'ютором ТМ TACTIC, GRANNA, SMART GAMES, IQ, Neat Oh !, Mindtwister, SmartLife, Totum в Україні. Компанія також реалізує продукцію ТМ LEGO. Колекція ",
pub_9960,9960,Maldón,<p><strong>Mald&oacute;n</strong> is an Argentinian company that specializes in high-end board games.</p>,
pub_40462,40462,Orangutan Games,"<p>Orangutan Games is new board game publishing house founded in 2018, based in Malaysia &amp; Indonesia.</p>",
pub_17028,17028,Van Ryder Games,"<p>Van Ryder Games is an independently owned game company that seeks to bring you exciting and unique games the likes of which you have never seen before</p> <p>Check out our games at: <a rel=""nofollo",
pub_3242,3242,Raven Distribution,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_4,4,(Self-Published),"<p><strong>This is a generic company entry intended for all self-published board games, video games and pen-n-paper RPGS.</strong></p> <p>A self-published work is produced independently, without the i",
pub_2691,2691,Cocktail Games,"<p><strong>Microbadge</strong></p> <p><a href=""/microbadge/5813""><img alt='Microbadge: Cocktail Games fan (publisher)' onmouseover=""return overlib('Cocktail Games fan (publisher)', WRAP );"" onmouseout",
pub_18529,18529,NSKN Games,"<p><strong>NSKN Games</strong>, which launched in 2011 with <em>Warriors &amp; Traders</em>, consists of a team of creative people who want to introduce interesting, entertaining, one-of-a-kind strate",
pub_24489,24489,Foxtrot Games,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_40920,40920,2 Pionki,"<p>2 pionki publishing house was created with passion to the board games and card games and from a need to share the knowledge with the others. In search of games, we visit various corners around the ",
pub_1901,1901,Überplay,<p>Uberplay ceased operations in 2008.</p> <p><strong>Jeremy Young</strong> founded Uberplay at the beginning of 2003 and is Uberplay's President and CEO. Jeremy is responsible for setting the company,
pub_1009,1009,APE Games,<p><strong>APE Games</strong> is an U.S. publisher.</p>,
pub_42061,42061,Tesla Games,"<p>Tesla Games is a new publishing reality, spawn from the meeting of players and professionals of gaming. Evermore often, good &quot;quality&quot; games risk of being overshadowed by the constant str",
pub_21341,21341,CZ Cloud Soft Co. Ltd,<p><strong>User Summary</strong></p> <p>CZ Cloud Soft Co. Ltd is a company that develops games for the iPhone and iPad platforms.</p>,
pub_37933,37933,Dranda Games,"<hr /> <p>Dranda Games is an indie board game publishing company based in Birmingham, UK.<br /> We design and publish high-quality independent tabletop games. <br /> Since 2017</p> <hr /> <p><span sty",
pub_83,83,R&D Games,"<p><strong>History</strong></p> <p>R&amp;D Games was formed in 1989 by hobbyist Richard Breese, in order to publish largely his own designs. Richard is an accountant, and designs in his 'spare' time. ",
pub_22701,22701,Game Salute,"<p>Game Salute publishes games. Founded in NH in 2008 as a side project, it became a more formal company in 2011.</p> <p>We also provide a comprehensive platform for the creation, sales, and distribut",
pub_3490,3490,HUCH!,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_9235,9235,Stupor Mundi,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_14078,14078,Vennerød Forlag AS,<p>www.smartegaver.no</p> <p><strong>Branches:</strong></p> <ul> <li> Venner&ouml;d F&ouml;rlag Sverige AB</li> </ul>,
pub_32841,32841,Druid City Games,<p>Druid City Games exists to help people get off their electronic devices and engage their family and friends with board games!</p> <p>Founder - James Hudson<br /> CFO - Doug Butler</p> <p>Based in <,
pub_50703,50703,Jianjie Star Games,<p>We are Jianjie Star Trading Firm and a boardgame publishing house specializing in operating game licensing / distribution / reselling in Asia Market.</p> <p>The company was established in 2016 in F,
pub_34778,34778,Last Level,"<p>En Last Level Distribuciones somos distribuidores de productos licenciados de regalo, juegos de mesa, manga y merchandising oficial a miles de tiendas y empresas del sector.</p> <p>Last Level Distr",
pub_29307,29307,Skybound Tabletop,"<p>Publishers of Superfight</p> <p><strong>Microbadge</strong></p> <p><a href=""/microbadge/49150""><img alt='Microbadge: Skybound Games' onmouseover=""return overlib('Skybound Games', WRAP );"" onmouseou",
pub_531,531,Esdevium,"<p>Esdevium Games, founded in the 1970s, was named after the initials of its founders, Samuel Duncan and Valerie May.</p>",
pub_65,65,Winsome Games,"<p>Winsome Games is a small, specialist publisher of board games about railroads and trains. We design, develop and sometimes license these train games to larger firms like Eagle Games, Queen Games, R",
pub_105,105,R&R Games,<p><em>Description from the publisher:</em></p> <p><strong>Our Mission</strong></p> <p>Our mission is to produce high-quality family board games so that we can play around all the time. Fun games. Cha,
pub_58538,58538,Board Bound,"<p>We are Board Bound, yet a small company, but we are aimed at bringing best games to layers all around the world.</p>",
pub_3096,3096,Argentum Verlag,"<p><strong>Microbadge</strong></p> <p><a href=""/microbadge/6428""><img alt='Microbadge: Argentum Verlag fan' onmouseover=""return overlib('Argentum Verlag fan', WRAP );"" onmouseout=""return nd();"" title=",
pub_26598,26598,Gigante Jogos,"<p>Aten&ccedil;&atilde;o terr&aacute;queos, viemos em paz!</p> <p>Voc&ecirc;s n&atilde;o est&atilde;o sozinhos... A Gigante &eacute; uma editora nova e independente com a miss&atilde;o de reunir toda ",
pub_9382,9382,Hutter Trade GmbH + Co KG,<p>Bgm.-Landmann-Platz 1-5<br /> 89312 G&uuml;nzburg</p> <p>Tel.: +49 (0) 8221/369636<br /> Fax: +49 (0) 8221/369633<br /> www.hutter-trade.com</p> <p>Hutter is a trade company for a lot of small publ,
pub_23296,23296,Passport Game Studios,"<p>Passport Game Studios is a tabletop game publisher bringing you Tokaido, Quantum, Kingsport Festival, Trajan, Samurai Spirit, and other great games from around the world.</p>",
pub_38392,38392,MEBO Games,<p>MEBO Games was created in 2010<br /> Our History:<br /> In 2010 MEBO Games Lda. was created. Since the beginning we have created and publish dozens of board games and puzzles in our brand MESAboard,
pub_19047,19047,FoxMind Israel,"<p>FoxMind company was established 12 years ago for all of you, game lovers, and especially the ones that get hooked to a good game or cannot live a riddle unsolved.</p> <p>FoxMind publishes games by ",
pub_37883,37883,Fun Consortium,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_5787,5787,Morapiaf,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_44407,44407,Nordic Games ehf,"<p>This Icelandic publisher manufactured a version of Bezzerwizzer.</p> <hr /> <p><strong>Admin Note:</strong></p> <ul> <li> Not to be confused with the video game company <a href=""/videogamepublisher",
pub_38045,38045,Cuaca Cerah Games,"<p>Founded in July 2016, Cuaca Cerah Games is a board and card game publisher and distributor in Jakarta, Indonesia. We primarily focus on casual, party, light-to-medium strategy, as well as Indonesia",
pub_40841,40841,Land of Beautiful Mind (سرزمین ذهن زیبا),"<p>Land of Beautiful Mind (abbreviated as LBMiND)<br /> Name in Persian: Sarzamine Zehne Ziba<br /> Active since 2010<br /> Based in Iran, Tehran<br /> Main Activity: Importing, Distributing and Produ",
pub_11420,11420,"Gale Force Nine, LLC","<p><strong>Gale Force Nine, LLC.</strong> (GF9) is a game manufacturing company that was started in 1998 specializing in the design and distribution of laser cut components and scaled models for the m",
pub_60419,60419,Keyword Fights,<p>---</p> <p>Keyword Card Battle &ndash; Official Rule Book (English Version)</p> <p>1. Deck Construction</p> <p>Each deck consists of 40 cards.</p> <p>Each card may have up to 2 effects.</p> <p>Copy,
pub_30373,30373,"Adam's Apple Games, LLC",<p>Adam's Apple Games is a board game publisher.</p> <p>We create a board and card games that push the hobby with unique components and new play patterns always bundled up with a rich theme. - We make,
pub_54758,54758,Office Dog,<p><strong>Office Dog</strong> is an Asmodee studio that debuted in 2024 with the publication of <em>Word Traveler</em>.</p>,
pub_29085,29085,Paladium Games,<p>Paladium Games (Tabletop Ltd.) are one of the major Bulgarian publishers.</p>,
pub_26542,26542,Wise Wizard Games,<p><strong>Wise Wizard Games LLC</strong> was founded in 2013 as White Wizard Games LLC by two <em>Magic: The Gathering</em> Hall of Famers &mdash; Darwin Kastle and Rob Dougherty &mdash; who wanted t,
pub_3668,3668,KDS Distribuzione,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_40312,40312,Sand Castle Games,<p><strong>Sand Castle Games</strong> is a publisher based in Nevada.</p>,
pub_694,694,Oxygame,<span class='text-muted'>This page does not exist. You can edit this page to create it.</span>,
pub_46569,46569,Cardboard Alchemy,"<p>Cardboard Alchemy, creators of the delightful dragon game Flamecraft, are focused on amazing tabletop experiences. Using the ingredients of engaging play and stellar production quality they unlock ",
pub_35566,35566,The City of Games,"<p><strong>Welcome to The City of Games</strong><br /> <em>The home of beautiful games with a puzzly heart</em></p> <p>The City of Games was founded in 2016 by Frank West, a passionate gamer who wante",
pub_14439,14439,Far Off Games,"<p>A startup game company, based in Lincoln City, Oregon. Producers of <em><a href=""/boardgame/82222/xia-legends-of-a-drift-system"" >Xia: Legends of a Drift System</a></em>, <em><a href=""/boardgame/18",
pub_549,549,Sleuth Publications,<p>Out of business</p>,
pub_49895,49895,Äventyrsspel,"<p><strong>&Auml;ventyrsspel</strong> was a subsidiary of <em><a href=""/boardgamepublisher/112/target-games"" >Target Games</a></em>.</p>",
pub_1078,1078,Ben Sanders Co.,"<p>Ben Sanders Co. Ltd.<br /> North York, Ontario<br /> M2H 3G2</p>",
pub_111,111,Casper,"<p><strong>Casper</strong> was a subsidiary of <em><a href=""/boardgamepublisher/112/target-games"" >Target Games</a></em>.</p> <hr /> <p><strong>Note:</strong><br /> Not to be confused with <em><a href",
pub_150,150,Chessex,"Founded in 1987, Chessex has had a long history of manufacturing gaming supplies for the Role Playing game industry. In 1998, Chessex and The Armory merged. The distribution businesses became Alliance",
pub_6347,6347,GameWorks SàRL,<p>GameWorks published its last game in 2018. Future releases were transferred to SpaceCowboys/Asmodee.</p>,
